Listing all files in folder ID: 1XvHukPiinuqxDUthxJRQ0zTNY5ESUupq and saving to ./listed_files.txt
File: z-LLM Model Training, ID: 1iVImHzEPubLryXMg-fv6jepYvG53DK2g, MIME Type: application/vnd.google-apps.folder
File: TRP GL, ID: 14T3ISCGOxeUV-oXNVw_UWXPLSnSyIjZ-, MIME Type: application/vnd.google-apps.folder
File: TRP ESP, ID: 1zsOsjaviRnI0BDXqjXCFzp5ZQkCATPBy, MIME Type: application/vnd.google-apps.folder
File: SOGC, ID: 1wrknxuB63heIX-PFjVUHh94WswIXofJB, MIME Type: application/vnd.google-apps.folder
File: Point, ID: 1sRwkGvaKHkH1GK3hWl5yjKhOkZEFPDHL, MIME Type: application/vnd.google-apps.folder
File: Permian GL, ID: 1n3VObawFWPSk1_mstjBAY8bNKBYBFrGd, MIME Type: application/vnd.google-apps.folder
File: Permian ESP, ID: 1N1AAVK13eXYu1pC3q85F13cet9z-Pu2M, MIME Type: application/vnd.google-apps.folder
File: Moriah, ID: 1LoGZcUCueEJExaWbo5RlvHLrSlvEPnRb, MIME Type: application/vnd.google-apps.folder
File: Firebird, ID: 1BU9QhGFsq1Xl0dzGMXFvfQ45-EJPkj1L, MIME Type: application/vnd.google-apps.folder
File: Endeavor GL, ID: 1BkqogvYw9LSU18xJI4s8DEeY-yeEyP1u, MIME Type: application/vnd.google-apps.folder
File: Endeavor ESP, ID: 1d1WxOTm_nd2zYC4u7jILNBJintWigNlG, MIME Type: application/vnd.google-apps.folder
File: Crownquest, ID: 1kvIbedxdRyMr3i-BJnFB3wvmn3aDL4k0, MIME Type: application/vnd.google-apps.folder
File: CPX, ID: 1k1oDKQzardu_WCDA9zsrtKs9nV4kS5iV, MIME Type: application/vnd.google-apps.folder
File: Akakus, ID: 1iOLsN_-4DmEq1S81egq9IBS5qo2He4G0, MIME Type: application/vnd.google-apps.folder
File: Chord, ID: 1_h2fYL76hQby3KuKhH7fbqkzuWwFN_GH, MIME Type: application/vnd.google-apps.folder
File: Cholla, ID: 1Y0ZWG-MI9z2jpq9ACEI2jkyZrv8pMpyn, MIME Type: application/vnd.google-apps.folder
File: CHOLLA REPUBLIC 1H Install Ticket_ H295700-IT-240917-141110.pdf, ID: 1sEa8WtvTtBmDI3Cw41mqmOz-qTlGP7zF, MIME Type: application/pdf
File: Republic 1H Requested.pdf, ID: 12lW4s1Emq9zbuWbiEIWEhvo44CeXssNw, MIME Type: application/pdf
File: Cholla Petroleum Buffalo 6-8 1H Install July 20 2024.pdf, ID: 1_dU6HwTSua6j6rNLQxbMRGCBCB_rl0_Y, MIME Type: application/pdf
File: Install report.png, ID: 1_Ww7WRcMb9AMwInh0lawyrFm-3mqLxx2, MIME Type: image/png
File: Cholla Buffalo 6-8 1H_ESP Replacement Procedure.pdf, ID: 1_dffQLnNhaBu5bpygaD-s4gKJCc_tF1L, MIME Type: application/pdf
File: Buffalo 6-8 1H.pdf, ID: 1_for2c8M2jdfllzETdACSOMS8EmecdkX, MIME Type: application/pdf
File: Ancient 3-10E 1H_DLS.xlsx, ID: 1_MQgZtjZ3ylexjfi3t3tzP2Nf15q_Rwc, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Bison 6-2 1H_DLS.xlsx, ID: 1_Dg9uUIiBGqAsMGEP3t0SFbRllJJ6DvH, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Bison 6-2  1H_Run Report.pdf, ID: 1FzfOujiNfqorxPzpq8kAiM35qJ5C3Q1W, MIME Type: application/pdf
File: ANCIENT 3-10E 1H _Run Report.pdf, ID: 14bqFnmRJdTddYmGUB5K5DWvRJa0bKReK, MIME Type: application/pdf
File: Cholla Bison 6-2 1H_ESP Install Procedure.pdf, ID: 1_CyvzmvB5Z12xv-_vf70VfVJRr1mCXTm, MIME Type: application/pdf
File: Ancient 3-10E 1H_ESP Install Procedure.pdf, ID: 1_LpiaqphWxHx-hKj_mLo5Q01Zvu3ARi4, MIME Type: application/pdf
File: ESP Install Report Justice 1H (2).pdf, ID: 1ZxxpQ0fx8paFPZfR9dBbq_TxVo7cXaEi, MIME Type: application/pdf
File: ESP Install Report Great White 5-8E 1H (2).pdf, ID: 1_0wDqnjSjgTHnKxK05r7pD1SciJoFCyK, MIME Type: application/pdf
File: ESP Install Report Foxtrot 1H (2).pdf, ID: 1_9LuMsttzh4l8Hi7kNsCnyPXvyTgP4Vz, MIME Type: application/pdf
File: ESP Install Report Buffalo 6-8 1H (2).pdf, ID: 1_B-PXVhbSrs2t-3KUESurd6MUcxeQZo-, MIME Type: application/pdf
File: ESP Install Report Buffalo 6-8 1H.pdf, ID: 1ZlpguqdoD7NaEnjYtJZrXSFDNe9F_aRK, MIME Type: application/pdf
File: 2ESP Install Report Buffalo 6-8 1H.pdf, ID: 1ZwtOSwgW-9pNkN6TEkPvH4nzXu7Lxhzs, MIME Type: application/pdf
File: ESP Install Report Republic 1H.pdf, ID: 1ZX6V4_QmGEFy6MdiXuadvrNMeBNC455t, MIME Type: application/pdf
File: Buffalo 6-8 #1H Surveys.xlsx, ID: 1_VcHRjYAZejRfC_Yu81_gwlYeI7vGZ91, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ESP Install Report Tatanka 5-8W 1H.pdf, ID: 1ZVHWS6t3mA4f565ZwOOpUukqbYTcs-DY, MIME Type: application/pdf
File: ESP Install Report Foxtrot 1H.pdf, ID: 1Zjx2m3KyqElsk3VZn0zMWSkq_HBPq_fx, MIME Type: application/pdf
File: ESP Install Report Justice 1H.pdf, ID: 1Z_49oAw-QZ86d_GNXIWjGfJ9CJ33pvBV, MIME Type: application/pdf
File: ESP Install Report Great White 5-8E 1H.pdf, ID: 1ZeemjX80z4pvaQctBx_drZlLjIFtmDXk, MIME Type: application/pdf
File: JUSTICE UNIT 1H_RUN REPORT.pdf, ID: 1H7yp37fyNadZ4l3GSx2HtqT8tWuYOJ-H, MIME Type: application/pdf
File: RUN REPORT - GREAT WHITE 5-8E 1H.pdf, ID: 1YmUiXgRp5-xA1eQqKFr3tVuc4Ac2iWah, MIME Type: application/pdf
File: Run Report - TATANKA 5-8W 1H.pdf, ID: 15yEBtCIa1TelUf9VcVLkKv0yqyzT1pTP, MIME Type: application/pdf
File: FOXTROT 1H_Run Report.pdf, ID: 1GE_GWk_zniUQk4PoaGQW_u8KJFwnAXNh, MIME Type: application/pdf
File: BUFFALO 6-8 1H_Run Report.pdf, ID: 1v0CsliJ8eQzgHqz4LmyXkJ8X93UD7h7x, MIME Type: application/pdf
File: Copy of REPUBLIC 1H - ACTUAL WBD.xlsx, ID: 1Zm48QLqj9VAAkikGmYpF-GwWNBtR_cYY, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Great White 5-8E #1H Surveys 2.xlsx, ID: 1ZDBVAlmAaVE4yYJsH3E5d1jo3rEOB14e, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Tatanka 5-8W 1H Survey 2.xlsx, ID: 1Z7ftynxlM-QP1ic0Ef-AxWrpOCSlesap, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Well Schematic - Tatanka 5-8W 1H - Post Drill.pdf, ID: 1Z5I-U5ERpU0NVbL_8lXV4W0GFmlw6RQc, MIME Type: application/pdf
File: Well Schematic - Great White 5-8E 1H - Post Drill.pdf, ID: 1Z6JJH_oWud-G0H3zwp3KyZoQuQKV1G5x, MIME Type: application/pdf
File: BUFFALO 6-8 1H WBD.xlsx, ID: 1Zv40grKEaowHrydRI-6jYwUwzjgLv7Wr, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Foxtrot 1H - Deviation Survey.xlsx, ID: 1ZPP5hry4WiP_ZwwSEdMJfKtl1RJf5ZoX, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: REPUBLIC 1H - ACTUAL WBD.xlsx, ID: 1ZAQpGX5G8UV93i9cNvyDAexExrbQxqfT, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Equality 1H_Run Report_21Aug2021[26501].pdf, ID: 1YL1NzEqsJ1TYZ8yADOSREc3ufdSTriYY, MIME Type: application/pdf
File: JUSTICE 1H - ACTUAL WBD.xlsx, ID: 1ZB08xMrqJevglrHrD3ltueQRlYCwV9oy, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Foxtrot 1H - WBD.pdf, ID: 1ZGAJiyc1GZWPB7GLoEKMYqy29j73Ed9_, MIME Type: application/pdf
File: R242170 Whiting Wood Federal 5498 12-25-2BX Install, ID: 1QyBBMRbCwemBB-zJV43dcaUSVotKGRcoSsyJXRIFnVE, MIME Type: application/vnd.google-apps.document
File: R241262_OASIS EVANS FEDERAL 5693 12-22 5B_INSTALL_2-27-2024 (2).pdf, ID: 1eoac7LpIOXJ8oNaboFdq0lxBcKPVzOr0, MIME Type: application/pdf
File: R241794 WHITING PETROLEUM OLSON 31-31HU ESP INSTALL 04-10-2024.pdf, ID: 1ehM9BF_MsXKR5ps9mervkd1ilou22yZh, MIME Type: application/pdf
File: R241702 Oasis Evan Federal 5693 12-22 4B PMM Install 4-11-2024.pdf, ID: 1ehYXpHORgZAH_CGFTqR-3yxueYFc4FYQ, MIME Type: application/pdf
File: R241612 Oasis Blanchet Federal 5693 14-21 4B Install 4-3-24.pdf, ID: 1eiW5IxDN2QtPHhlzwDLvLUso46pfBuUX, MIME Type: application/pdf
File: R241608 Oasis Berwick 5602 13-21 4B Install.pdf, ID: 1eiXPZkeEFokTdU3hxpth8-vSUjzC8t9q, MIME Type: application/pdf
File: R241606 Oasis Berwick 5602 13-21 2BX Install.pdf, ID: 1eg95NcIvN4HDaRxkQaKyK1fLF_KeSw_u, MIME Type: application/pdf
File: R241534 WHITING LITTLEFIELD 11-21TFHU INSTALL .pdf, ID: 1eI141TNdtTdTArfYXnm44hnlrYZ02Roq, MIME Type: application/pdf
File: R241484 Oasis Blanchet FED5693 14-21 3B Install.pdf, ID: 1eIBA7BSSqcNOa-p4ac5XIHS19qt89FxN, MIME Type: application/pdf
File: R241470 WHITING_BIGFOOT_ 23-11 5H_INSTALL_3-22-2024.pdf, ID: 1ePwajAzFKHXRY0IWvzNLf_0lEL3gzHAs, MIME Type: application/pdf
File: R241349_CHORD_ BERWICK_ 5602_Install_13-21 3B.pdf, ID: 1eQMkNlXtgw7fhwHZh8OM8tjB7Qjux71a, MIME Type: application/pdf
